Date,IYH,IYM,IYHMA10,IYHMA50,IYHsignal,IYHPosition,IYMMA10,IYMMA50,IYMsignal,IYMPosition
2002-07-29,36.8537202142,26.5200575655,,,0.0,,,,0.0,
2002-07-30,37.2095705773,25.4721953069,,,0.0,0.0,,,0.0,0.0
2002-07-31,38.1610835047,25.5987826939,,,0.0,0.0,,,0.0,0.0
2002-08-01,36.9388148662,25.577684796,,,0.0,0.0,,,0.0,0.0
2002-08-02,36.8537202142,24.4102677831,,,0.0,0.0,,,0.0,0.0
2002-08-05,35.2756012126,23.6015150331,,,0.0,0.0,,,0.0,0.0
2002-08-06,36.0105095712,24.5649857005,,,0.0,0.0,,,0.0,0.0
2002-08-07,37.3178728617,25.1205636765,,,0.0,0.0,,,0.0,0.0
2002-08-08,38.6329720297,25.6409784895,,,0.0,0.0,,,0.0,0.0
2002-08-09,38.4473109707,25.8519574678,37.17011760225,,0.0,0.0,25.23589885128,,0.0,0.0
2002-08-12,38.5324056228,25.7675658765,37.33798614311,,0.0,0.0,25.16064968238,,0.0,0.0
2002-08-13,37.3024011068,25.5214237352,37.34726919606,,0.0,0.0,25.165572525210003,,0.0,0.0
2002-08-14,38.6793872945,25.9152511612,37.399099575040005,,0.0,0.0,25.19721937194,,0.0,0.0
2002-08-15,38.8727842309,25.6831742852,37.59249651151,,0.0,0.0,25.207768320859998,,0.0,0.0
2002-08-16,38.5478773777,25.2260531656,37.76191222786,,0.0,0.0,25.28934685911,,0.0,0.0
2002-08-19,39.0971246773,25.9082185286,38.14406457433,,0.0,0.0,25.52001720866,,0.0,0.0
2002-08-20,38.671651417,25.3315426547,38.41017875891,,0.0,0.0,25.596672904080002,,0.0,0.0
2002-08-21,39.4220315305,25.8097616721,38.62059462579,,0.0,0.0,25.665592703639998,,0.0,0.0
2002-08-22,40.5127902522,26.1754585677,38.80857644804,,0.0,0.0,25.719040711460003,,0.0,0.0
2002-08-23,39.5767490797,25.5003258373,38.92152025894,,0.0,0.0,25.68387754841,,0.0,0.0
2002-08-26,39.8397689133,25.9926101199,39.052256587989994,,0.0,0.0,25.706381972750002,,0.0,0.0
2002-08-27,38.6020285199,25.7956964069,39.182219329300004,,0.0,0.0,25.73380923992,,0.0,0.0
2002-08-28,38.400895706,25.1908900026,39.15437017045,,0.0,0.0,25.66137312406,,0.0,0.0
2002-08-29,38.485990358,25.3174773895,39.11569078316,,0.0,0.0,25.62480343449,,0.0,0.0
2002-08-30,38.4318392158,25.6339458569,39.10408696697,,0.0,0.0,25.66559270362,,0.0,0.0
2002-09-03,36.6680591552,24.6845404548,38.86118041476,,0.0,0.0,25.543224896239998,,0.0,0.0
2002-09-04,37.7510819994,24.7970625765,38.76912347299999,,0.0,0.0,25.48977688842,,0.0,0.0
2002-09-05,37.4029675138,23.9953424592,38.567217071330006,,0.0,0.0,25.30833496713,,0.0,0.0
2002-09-06,37.5035339207,24.663442557,38.26629143818,,0.0,0.0,25.15713336606,,0.0,0.0
2002-09-09,37.828440774,25.0361720852,38.091460607609996,,0.0,0.0,25.11071799085,,0.0,0.0
2002-09-10,38.0450453428,25.1416615743,37.91198825056,,0.0,0.0,25.02562313629,,0.0,0.0
2002-09-11,38.014101833,25.3174773895,37.85319558187,,0.0,0.0,24.97780123455,,0.0,0.0
2002-09-12,37.2791934744,24.9166173309,37.74102535871,,0.0,0.0,24.95037396738,,0.0,0.0
2002-09-13,37.6741873775,24.6413600906,37.659845060660004,,0.0,0.0,24.88276223749,,0.0,0.0
2002-09-16,37.7749204988,24.5636270934,37.59415318895999,,0.0,0.0,24.77573036114,,0.0,0.0
2002-09-17,37.0697886495,23.9064299359,37.63432613839,,0.0,0.0,24.69791930925,,0.0,0.0
2002-09-18,37.2170139807,23.8710967554,37.580919336520004,,0.0,0.0,24.60532272714,,0.0,0.0
2002-09-19,36.2251801706,23.298699231,37.4631406022,,0.0,0.0,24.53565840432,,0.0,0.0
2002-09-20,36.2329288723,23.7226973972,37.33608009736,,0.0,0.0,24.44158388834,,0.0,0.0
2002-09-23,35.7292632656,23.2138995978,37.12616234652,,0.0,0.0,24.2593566396,,0.0,0.0
2002-09-24,35.8144989837,22.1468375463,36.90310771061,,0.0,0.0,23.959874236799998,,0.0,0.0
2002-09-25,36.9923016331,22.8605677927,36.80092769062,,0.0,0.0,23.71418327712,,0.0,0.0
2002-09-26,37.5037159414,23.1079000563,36.82337993732,,0.0,0.0,23.53331154966,,0.0,0.0
2002-09-27,36.1166983477,22.471902807,36.667631034340005,,0.0,0.0,23.3163658213,,0.0,0.0
2002-09-30,36.1012009444,22.1539041824,36.5002590789,,0.0,0.0,23.0753935302,,0.0,0.0
2002-10-01,37.1162808593,23.4753651336,36.50490829988,,0.0,0.0,23.03228704997,,0.0,0.0
2002-10-02,36.8838198101,22.1185710019,36.47158888282,,0.0,0.0,22.85703447462,,0.0,0.0
2002-10-03,36.8838198101,22.3235034488,36.537452846769995,,0.0,0.0,22.7595148964,,0.0,0.0
2002-10-04,35.806750282,21.8359055578,36.49483498774,,0.0,0.0,22.570835712460003,,0.0,0.0
2002-10-07,35.806750282,21.3765742111,36.50258368938,37.56236890094,0.0,0.0,22.387103173790003,24.535390840786,0.0,0.0
2002-10-08,36.4653899215,21.5249735692,36.567672783160006,37.554602295086,0.0,0.0,22.324916776080002,24.435489160859998,0.0,0.0
2002-10-09,36.1864366624,20.613377512,36.487086286090005,37.534139616787996,0.0,0.0,22.10019774801,24.338312804961998,0.0,0.0
2002-10-10,36.713348374,21.6239064747,36.40804952935,37.505184914174,0.0,0.0,21.95179838985,24.258815280578002,0.0,0.0
2002-10-11,37.1627730692,22.4931027153,36.512657001499996,37.509664078234,0.0,0.0,21.95391838068,24.197123638963998,0.0,0.0
2002-10-14,37.9996328464,22.3447033572,36.7025001917,37.532582330878,0.0,0.0,21.97299829816,24.155812350446,0.0,0.0
2002-10-15,38.805497817,23.5884313113,36.87142188747,37.603180262966,0.0,0.0,21.98430491593,24.15555067601,0.0,0.0
2002-10-16,38.9372257449,22.9100342454,37.076762480949995,37.661714586440006,0.0,0.0,22.06345124028,24.122451646907997,0.0,0.0
2002-10-17,39.2084303023,23.708564125,37.30922353017,37.699525735252,0.0,0.0,22.2019573079,24.094211655878002,0.0,0.0
2002-10-18,39.3324095286,23.5813646752,37.66178945483,37.71351448523,0.0,0.0,22.37650321964,24.053019379591998,0.0,0.0
2002-10-21,39.4408913516,24.3233614659,38.02520356179,37.733386092848,1.0,1.0,22.67118194512,24.022447459554,0.0,0.0
2002-10-22,38.8209952203,23.7438973055,38.26076409167,37.739157884798,1.0,0.0,22.89307431875,23.981974088134,0.0,0.0
2002-10-23,38.3793192268,23.7014974889,38.48005234810999,37.760696247198005,1.0,0.0,23.20188631644,23.945575563208,0.0,0.0
2002-10-24,37.8214127086,22.8959009732,38.59085878157,37.74353675548,1.0,0.0,23.32908576629,23.885188559448,0.0,0.0
2002-10-25,38.6815185908,23.5601647668,38.74273333373,37.739711442678,1.0,0.0,23.43579197144,23.84272836908,0.0,0.0
