,IYC,IDU,IYZ,IYW,IYJ,IYH,IYF,IYE,IYK,IYM,IYR,IYCMA10,IYCMA50,IYCsignal,IYCPosition,IDUMA10,IDUMA50,IDUsignal,IDUPosition,IYZMA10,IYZMA50,IYZsignal,IYZPosition,IYWMA10,IYWMA50,IYWsignal,IYWPosition,IYJMA10,IYJMA50,IYJsignal,IYJPosition,IYHMA10,IYHMA50,IYHsignal,IYHPosition,IYFMA10,IYFMA50,IYFsignal,IYFPosition,IYEMA10,IYEMA50,IYEsignal,IYEPosition,IYKMA10,IYKMA50,IYKsignal,IYKPosition,IYMMA10,IYMMA50,IYMsignal,IYMPosition,IYRMA10,IYRMA50,IYRsignal,IYRPosition,DateM,GDP,CPI,Growth,Inflation,Theme
10,8.869325518,13.9641212151,9.3669857827,6.9111003291,15.4393101411,38.5324056228,24.9676041414,8.6233777692,29.4090936338,25.7675658765,18.0000763563,8.907943155439998,,0.0,0.0,13.44056612903,,0.0,0.0,9.25453485345,,0.0,0.0,6.8637161657000005,,0.0,0.0,15.12241007179,,0.0,0.0,37.33798614311,,0.0,0.0,24.2193045425,,0.0,0.0,8.27351501403,,0.0,0.0,28.78281361705,,0.0,0.0,25.16064968238,,0.0,0.0,18.034941167760003,,0.0,0.0,2002-08,2.1406699897993158,2.3567220139260936,low,high,Stagflation
11,8.7059432058,13.6060668249,9.2080237361,6.8106546371,15.0604078843,37.3024011068,24.3882530379,8.5034003394,29.3288870148,25.5214237352,17.7989332135,8.83643687076,,0.0,0.0,13.454623079160001,,0.0,0.0,9.24511488032,,0.0,0.0,6.81676872271,,0.0,0.0,15.078013443720002,,0.0,0.0,37.34726919606,,0.0,0.0,24.20855012081,,0.0,0.0,8.27951388552,,0.0,0.0,28.885745444770002,,0.0,0.0,25.165572525210003,,0.0,0.0,17.9665524992,,0.0,0.0,2002-08,2.1406699897993158,2.3567220139260936,low,high,Stagflation
12,9.1791153567,14.0277753289,9.6790223927,7.1622145591,15.3474550486,38.6793872945,25.255545109,8.824768455,30.0707982405,25.9152511612,17.9285587945,8.823493596679999,,0.0,0.0,13.49865050788,,0.0,0.0,9.25041361521,,0.0,0.0,6.81895232471,,0.0,0.0,15.06461790939,,0.0,0.0,37.399099575040005,,0.0,0.0,24.25885306093,,0.0,0.0,8.29751049999,,0.0,0.0,29.008728927240004,,0.0,0.0,25.19721937194,,0.0,0.0,17.902410185889998,,0.0,0.0,2002-08,2.1406699897993158,2.3567220139260936,low,high,Stagflation
13,9.5164892221,13.974730234,9.6201475606,7.323801107,15.4814103919,38.8727842309,25.4706335426,9.0325865031,29.790075074,25.6831742852,18.0358351373,8.87123518141,,0.0,0.0,13.56469165095,,0.0,0.0,9.27337479972,,0.0,0.0,6.8722322135,,0.0,0.0,15.09523627358,,0.0,0.0,37.59249651151,,0.0,0.0,24.383396202329997,,0.0,0.0,8.39156423516,,0.0,0.0,29.11901302837,,0.0,0.0,25.207768320859998,,0.0,0.0,17.874697130660003,,0.0,0.0,2002-08,2.1406699897993158,2.3567220139260936,low,high,Stagflation
14,9.454955624,13.7784633831,10.0970337004,7.500672869,15.4737558008,38.5478773777,25.4116576818,8.9768826964,29.8435461533,25.2260531656,18.2369782801,8.94677297769,,0.0,0.0,13.633650274230002,,0.0,0.0,9.34932333309,,0.0,0.0,6.96416185769,,0.0,0.0,15.17675766822,,0.0,0.0,37.76191222786,,0.0,0.0,24.57246587382,,0.0,0.0,8.483689761639999,,0.0,0.0,29.242664899330002,,0.0,0.0,25.28934685911,,0.0,0.0,17.907327018270003,,0.0,0.0,2002-08,2.1406699897993158,2.3567220139260936,low,high,Stagflation
15,9.7923294894,13.8845535728,10.597469773,7.729951079,15.906240195,39.0971246773,25.9840704487,8.9790251505,30.1443209746,25.9082185286,18.2101591944,9.08681495955,,0.0,0.0,13.732314150620002,,0.0,0.0,9.515939107849999,,0.0,0.0,7.09736157967,,0.0,0.0,15.355109639610001,,0.0,0.0,38.14406457433,,0.0,0.0,24.8968331084,,0.0,0.0,8.614593707400001,,0.0,0.0,29.429813677,,0.0,0.0,25.52001720866,,0.0,0.0,17.96811694587,,0.0,0.0,2002-08,2.1406699897993158,2.3567220139260936,low,high,Stagflation
16,9.6968463199,14.0171663099,10.1853459485,7.561813725,15.6919116457,38.671651417,25.4845102157,8.7604948319,30.0106432763,25.3315426547,18.1364067087,9.190785521840002,,0.0,0.0,13.79809006822,,0.0,0.0,9.6395762552,,0.0,0.0,7.18732598206,,0.0,0.0,15.428593713660002,,0.0,0.0,38.41017875891,,0.0,0.0,25.077576775999997,,0.0,0.0,8.6887226194,,0.0,0.0,29.608941792770004,,0.0,0.0,25.596672904080002,,0.0,0.0,18.01706177729,,0.0,0.0,2002-08,2.1406699897993158,2.3567220139260936,low,high,Stagflation
17,9.9238840784,14.3937864832,10.4149577936,7.795459139,15.7761121472,39.4220315305,25.6198077788,8.7326429285,29.8569139232,25.8097616721,18.225803661,9.3015459984,,0.0,0.0,13.88641015112,,0.0,0.0,9.78381959378,,0.0,0.0,7.287771674049999,,0.0,0.0,15.502460517260001,,0.0,0.0,38.62059462579,,0.0,0.0,25.25311669118,,0.0,0.0,8.75192501547,,0.0,0.0,29.7272465558,,0.0,0.0,25.665592703639998,,0.0,0.0,18.038293553469998,,0.0,0.0,2002-08,2.1406699897993158,2.3567220139260936,low,high,Stagflation
18,10.0575605156,14.6643164669,10.6210197058,7.860967199,16.0593320159,40.5127902522,26.0707996558,9.0904327639,29.9705399668,26.1754585677,18.2794418324,9.412943029420001,,0.0,0.0,13.99594827196,,0.0,0.0,9.91334422433,,0.0,0.0,7.363324303240001,,0.0,0.0,15.56599362295,,0.0,0.0,38.80857644804,,0.0,0.0,25.37106841285,,0.0,0.0,8.81319920284,,0.0,0.0,29.786733131560005,,0.0,0.0,25.719040711460003,,0.0,0.0,18.064442162029998,,0.0,0.0,2002-08,2.1406699897993158,2.3567220139260936,low,high,Stagflation
19,9.707455561,14.3884819737,10.2383332974,7.533426899,15.6115384397,39.5767490797,25.5157327303,8.9318911602,29.6764490304,25.5003258373,18.2705021372,9.49039048909,,0.0,0.0,14.06994617925,,0.0,0.0,10.002833969080001,,0.0,0.0,7.41900615423,,0.0,0.0,15.58474737102,,0.0,0.0,38.92152025894,,0.0,0.0,25.4168614342,,0.0,0.0,8.84555025981,,0.0,0.0,29.810126728769994,,0.0,0.0,25.68387754841,,0.0,0.0,18.11226953154,,0.0,0.0,2002-08,2.1406699897993158,2.3567220139260936,low,high,Stagflation
