,IVV
2003-01-13 00:00:00+00:00,64.0104267662
2003-01-14 00:00:00+00:00,64.0448150904
2003-01-15 00:00:00+00:00,63.3914369296
2003-01-16 00:00:00+00:00,63.0269206925
2003-01-17 00:00:00+00:00,62.4354415153
2003-01-21 00:00:00+00:00,61.2662384907
2003-01-22 00:00:00+00:00,60.5440836814
2003-01-23 00:00:00+00:00,61.0255202209
2003-01-24 00:00:00+00:00,59.3542476622
2003-01-27 00:00:00+00:00,58.4807842261
2003-01-28 00:00:00+00:00,59.0309974142
2003-01-29 00:00:00+00:00,59.5055562889
2003-01-30 00:00:00+00:00,58.116267989
2003-01-31 00:00:00+00:00,59.2648380191
2003-02-03 00:00:00+00:00,59.2785933488
2003-02-04 00:00:00+00:00,58.6664811771
2003-02-05 00:00:00+00:00,58.3363532643
2003-02-06 00:00:00+00:00,57.6898527683
2003-02-07 00:00:00+00:00,57.4697674931
2003-02-10 00:00:00+00:00,57.7379964222
2003-02-11 00:00:00+00:00,57.4147461743
2003-02-12 00:00:00+00:00,56.5344050734
2003-02-13 00:00:00+00:00,56.596304057
2003-02-14 00:00:00+00:00,57.7861400762
2003-02-18 00:00:00+00:00,58.9690984305
2003-02-19 00:00:00+00:00,58.5014172207
2003-02-20 00:00:00+00:00,57.9580816975
2003-02-21 00:00:00+00:00,58.625215188
2003-02-24 00:00:00+00:00,57.4904004876
2003-02-25 00:00:00+00:00,58.1506563133
2003-02-26 00:00:00+00:00,57.2978258718
2003-02-27 00:00:00+00:00,58.0131030163
2003-02-28 00:00:00+00:00,58.439518237
2003-03-03 00:00:00+00:00,57.8342837302
2003-03-04 00:00:00+00:00,56.9264319699
2003-03-05 00:00:00+00:00,57.4491344985
2003-03-06 00:00:00+00:00,56.9126766402
2003-03-07 00:00:00+00:00,57.3941131797
2003-03-10 00:00:00+00:00,55.9397621704
2003-03-11 00:00:00+00:00,55.4218014095
2003-03-12 00:00:00+00:00,55.7947331573
2003-03-13 00:00:00+00:00,57.6455796094
2003-03-14 00:00:00+00:00,57.769890192
2003-03-17 00:00:00+00:00,59.6897980788
2003-03-18 00:00:00+00:00,60.0696359701
2003-03-19 00:00:00+00:00,60.5047230092
2003-03-20 00:00:00+00:00,60.6842827396
2003-03-21 00:00:00+00:00,61.9135762787
2003-03-24 00:00:00+00:00,59.8762639527
2003-03-25 00:00:00+00:00,60.4978168657
2003-03-26 00:00:00+00:00,60.0903544005
2003-03-27 00:00:00+00:00,60.0696359701
2003-03-28 00:00:00+00:00,59.9107946701
2003-03-31 00:00:00+00:00,58.5710028354
2003-04-01 00:00:00+00:00,59.4066461962
2003-04-02 00:00:00+00:00,60.8638424701
2003-04-03 00:00:00+00:00,60.6773765962
2003-04-04 00:00:00+00:00,60.9674346222
2003-04-07 00:00:00+00:00,60.9674346222
2003-04-08 00:00:00+00:00,60.9398100483
2003-04-09 00:00:00+00:00,60.1801342657
2003-04-10 00:00:00+00:00,60.401130857
2003-04-11 00:00:00+00:00,60.2284772701
2003-04-14 00:00:00+00:00,61.4923015265
2003-04-15 00:00:00+00:00,61.9342947091
2003-04-16 00:00:00+00:00,60.9052793309
2003-04-17 00:00:00+00:00,61.8583271309
2003-04-21 00:00:00+00:00,61.8997639917
2003-04-22 00:00:00+00:00,63.1221513873
2003-04-23 00:00:00+00:00,63.5917691438
2003-04-24 00:00:00+00:00,63.059996096
2003-04-25 00:00:00+00:00,62.3831940352
2003-04-28 00:00:00+00:00,63.4053032699
2003-04-29 00:00:00+00:00,63.6124875742
2003-04-30 00:00:00+00:00,63.5434261394
2003-05-01 00:00:00+00:00,63.5296138525
2003-05-02 00:00:00+00:00,64.3583510698
2003-05-05 00:00:00+00:00,64.2616650611
2003-05-06 00:00:00+00:00,64.8210626828
2003-05-07 00:00:00+00:00,64.4550370785
2003-05-08 00:00:00+00:00,63.8818271699
2003-05-09 00:00:00+00:00,64.7589073915
2003-05-12 00:00:00+00:00,65.5393016045
2003-05-13 00:00:00+00:00,65.4149910219
2003-05-14 00:00:00+00:00,65.2906804393
2003-05-15 00:00:00+00:00,65.718861335
2003-05-16 00:00:00+00:00,65.5738323219
2003-05-19 00:00:00+00:00,64.0406684699
2003-05-20 00:00:00+00:00,63.826578022
2003-05-21 00:00:00+00:00,64.0337623264
2003-05-22 00:00:00+00:00,64.5862538046
2003-05-23 00:00:00+00:00,64.765813535
2003-05-27 00:00:00+00:00,65.9329517828
2003-05-28 00:00:00+00:00,66.1194176567
2003-05-29 00:00:00+00:00,65.9467640697
2003-05-30 00:00:00+00:00,66.9826855914
2003-06-02 00:00:00+00:00,67.265837474
2003-06-03 00:00:00+00:00,67.4730217783
2003-06-04 00:00:00+00:00,68.5296617304
2003-06-05 00:00:00+00:00,68.8473443304
2003-06-06 00:00:00+00:00,68.6608784565
2003-06-09 00:00:00+00:00,67.9150149609
2003-06-10 00:00:00+00:00,68.5710985913
2003-06-11 00:00:00+00:00,69.2962436565
2003-06-12 00:00:00+00:00,69.5448648217
2003-06-13 00:00:00+00:00,68.7713767522
2003-06-16 00:00:00+00:00,70.2541948183
2003-06-17 00:00:00+00:00,70.2541948183
2003-06-18 00:00:00+00:00,70.1779521049
2003-06-19 00:00:00+00:00,69.08976065
2003-06-20 00:00:00+00:00,68.9095506002
2003-06-23 00:00:00+00:00,68.2441596469
2003-06-24 00:00:00+00:00,68.3411958276
